Author,ItemID(LIsting_id),bundle_index,diff
suyang,44021641588,"(2,3)",2
suyang,44021641588,"(3,4)",2
suyang,44021641588, ,bundle_index = 5 does not exist
suyang,44021641588, ,bundle_index = 5 does not exist
suyang,44021641588, ,bundle_index = 6 does not exist
suyang,44021641588, ,bundle_index = 7 does not exist
suyang,18999829018,"(2,3)",2
suyang,18999829018,"(3,4)",3
suyang,18999829018,"(4,5)",2
suyang,18999829018,"(5,6)",2
suyang,18999829018,"(6,7)",4
suyang,18999829018,"(7,8)",4
suyang,24596036343,"(2,3)",3
suyang,24596036343,"(3,4)",5
suyang,24596036343,"(4,5)",4
suyang,24596036343,"(5,6)",3
suyang,24596036343,"(6,7)",9
suyang,24596036343,"(7,8)",9
suyang,45219159638,"(2,3)",1
suyang,45219159638,"(3,4)",2
suyang,45219159638, ,bundle_index = 5 does not exist
suyang,45219159638, ,bundle_index = 5 does not exist
suyang,45219159638, ,bundle_index = 6 does not exist
suyang,45219159638, ,bundle_index = 7 does not exist
suyang,40565901878,"(2,3)",4
suyang,40565901878, ,bundle_index = 4 does not exist
suyang,40565901878, ,bundle_index = 4 does not exist
suyang,40565901878, ,bundle_index = 5 does not exist
suyang,40565901878, ,bundle_index = 6 does not exist
suyang,40565901878, ,bundle_index = 7 does not exist
suyang,36613205733,"(2,3)",3
suyang,36613205733,"(3,4)",2
suyang,36613205733,"(4,5)",7
suyang,36613205733,"(5,6)",3
suyang,36613205733, ,bundle_index = 7 does not exist
suyang,36613205733, ,bundle_index = 7 does not exist
suyang,41599133465, ,bundle_index = 2 does not exist
suyang,41599133465, ,bundle_index = 3 does not exist
suyang,41599133465, ,bundle_index = 4 does not exist
suyang,41599133465, ,bundle_index = 5 does not exist
suyang,41599133465, ,bundle_index = 6 does not exist
suyang,41599133465, ,bundle_index = 7 does not exist
suyang,43859660891,"(2,3)",2
suyang,43859660891,"(3,4)",2
suyang,43859660891,"(4,5)",3
suyang,43859660891,"(5,6)",2
suyang,43859660891,"(6,7)",2
suyang,43859660891,"(7,8)",2
suyang,38708270318,"(2,3)",2
suyang,38708270318,"(3,4)",4
suyang,38708270318,"(4,5)",5
suyang,38708270318,"(5,6)",3
suyang,38708270318,"(6,7)",2
suyang,38708270318,"(7,8)",4
suyang,35540978058,"(2,3)",1
suyang,35540978058,"(3,4)",4
suyang,35540978058,"(4,5)",4
suyang,35540978058, ,bundle_index = 6 does not exist
suyang,35540978058, ,bundle_index = 6 does not exist
suyang,35540978058, ,bundle_index = 7 does not exist
suyang,26519380192,"(2,3)",6
suyang,26519380192,"(3,4)",8
suyang,26519380192,"(4,5)",6
suyang,26519380192,"(5,6)",6
suyang,26519380192,"(6,7)",6
suyang,26519380192, ,bundle_index = 8 does not exist
suyang,521513506795,"(2,3)",7
suyang,521513506795,"(3,4)",2
suyang,521513506795,"(4,5)",3
suyang,521513506795,"(5,6)",7
suyang,521513506795,"(6,7)",2
suyang,521513506795,"(7,8)",4
suyang,18053093587,"(2,3)",6
suyang,18053093587,"(3,4)",4
suyang,18053093587,"(4,5)",5
suyang,18053093587,"(5,6)",2
suyang,18053093587,"(6,7)",2
suyang,18053093587, ,bundle_index = 8 does not exist
suyang,42468840454,"(2,3)",3
suyang,42468840454,"(3,4)",5
suyang,42468840454,"(4,5)",2
suyang,42468840454,"(5,6)",5
suyang,42468840454,"(6,7)",3
suyang,42468840454,"(7,8)",3
suyang,522033862841,"(2,3)",3
suyang,522033862841,"(3,4)",6
suyang,522033862841,"(4,5)",8
suyang,522033862841,"(5,6)",3
suyang,522033862841,"(6,7)",8
suyang,522033862841,"(7,8)",2
suyang,522097809685,"(2,3)",6
suyang,522097809685,"(3,4)",4
suyang,522097809685,"(4,5)",2
suyang,522097809685,"(5,6)",4
suyang,522097809685,"(6,7)",5
suyang,522097809685,"(7,8)",2
suyang,523776961013,"(2,3)",6
suyang,523776961013,"(3,4)",2
suyang,523776961013,"(4,5)",2
suyang,523776961013,"(5,6)",6
suyang,523776961013,"(6,7)",2
suyang,523776961013, ,bundle_index = 8 does not exist
suyang,16831203027,"(2,3)",2
suyang,16831203027,"(3,4)",10
suyang,16831203027,"(4,5)",3
suyang,16831203027,"(5,6)",6
suyang,16831203027,"(6,7)",2
suyang,16831203027,"(7,8)",2
suyang,19999809846,"(2,3)",4
suyang,19999809846,"(3,4)",5
suyang,19999809846,"(4,5)",3
suyang,19999809846,"(5,6)",5
suyang,19999809846,"(6,7)",3
suyang,19999809846,"(7,8)",2
suyang,20167630571,"(2,3)",2
