"","item_id","bundle_index1","bundle_index2","premrel","diff"
"1",16831203027,1,2,17,2
"2",16831203027,1,3,59,1
"3",16831203027,1,4,-121,10
"4",16831203027,1,5,-91,9
"5",16831203027,1,6,-108,11
"6",16831203027,1,7,-33,11
"7",16831203027,1,8,37,11
"8",18053093587,1,2,-80,2
"9",18053093587,1,3,-5,8
"10",18053093587,1,4,45,8
"11",18053093587,1,5,-235,11
"12",18053093587,1,6,-195,11
"13",18053093587,1,7,5,11
"14",18352298789,1,2,95,2
"15",18352298789,1,3,120,3
"16",18352298789,1,4,320,4
"17",18352298789,1,5,60,6
"18",18352298789,1,6,330,6
"19",18352298789,1,7,110,7
"20",18352298789,1,8,360,8
"21",18820622609,1,2,80,3
"22",18820622609,1,3,-50,5
"23",18999829018,1,2,10,2
"24",18999829018,1,3,10,2
"25",18999829018,1,4,-20,1
"26",18999829018,1,5,30,3
"27",18999829018,1,6,210,3
"28",18999829018,1,7,15,5
"29",18999829018,1,8,-5,7
"30",19999809846,1,2,45,2
"31",19999809846,1,3,-85,6
"32",19999809846,1,4,-210,7
"33",19999809846,1,5,-220,10
"34",19999809846,1,6,-190,9
"35",19999809846,1,7,-150,12
"36",19999809846,1,8,-100,12
"37",20167630571,1,2,0,4
"38",20167630571,1,3,45,6
"39",20167630571,1,4,80,8
"40",20167630571,1,5,275,8
"41",20186366493,1,2,-15,3
"42",20186366493,1,3,10,3
"43",20186366493,1,4,50,1
"44",20186366493,1,5,45,4
"45",20186366493,1,6,70,4
"46",20186366493,1,7,140,4
"47",20186366493,1,8,165,4
"48",20373091017,1,2,5,2
"49",20373091017,1,3,20,2
"50",20728727154,1,2,-35,6
"51",20728727154,1,3,-145,8
"52",20728727154,1,4,0,9
"53",20728727154,1,5,20,13
"54",20728727154,1,6,160,13
"55",20728727154,1,7,330,13
"56",20728727154,1,8,332,15
"57",23896264169,1,2,-65,4
"58",23896264169,1,3,-20,5
"59",23896264169,1,4,-40,7
"60",23896264169,1,5,75,8
"61",23896264169,1,6,-55,10
"62",23896264169,1,7,7,10
"63",23896264169,1,8,37,10
"64",23924620234,1,2,-580,24
"65",23924620234,1,2,-580,21
"66",23924620234,1,3,-680,13
"67",23924620234,1,3,-680,15
"68",23924620234,1,4,-913,17
"69",23924620234,1,4,-913,21
"70",23924620234,1,5,-893,15
"71",23924620234,1,5,-893,21
"72",23924620234,1,6,-923,17
"73",23924620234,1,6,-923,21
"74",23969324559,1,2,-190,7
"75",23969324559,1,3,-240,9
"76",23969324559,1,4,-358,13
"77",23969324559,1,5,-293,13
"78",23969324559,1,6,-293,13
"79",23969324559,1,7,-233,13
"80",23969324559,1,8,-143,13
"81",24291960195,1,2,54,3
"82",24291960195,1,3,64,7
"83",24291960195,1,4,264,7
"84",24291960195,1,5,116,7
"85",24291960195,1,6,154,7
"86",24291960195,1,7,354,7
"87",24319152517,1,2,155,4
"88",24319152517,1,3,-128,12
"89",24319152517,1,4,172,12
"90",24319152517,1,5,317,13
"91",24596036343,1,2,-30,2
"92",24596036343,1,3,90,5
"93",24596036343,1,4,150,8
"94",24596036343,1,5,475,8
"95",24596036343,1,6,545,9
"96",24596036343,1,7,95,8
"97",24596036343,1,8,445,11
"98",25673844634,1,2,-125,8
"99",25673844634,1,3,-105,8
"100",25673844634,1,4,-175,8
"101",26519380192,1,2,80,3
"102",26519380192,1,3,50,5
"103",26519380192,1,4,160,9
"104",26519380192,1,5,60,11
"105",26519380192,1,6,0,11
"106",26519380192,1,7,390,11
"107",27462844289,1,2,50,4
"108",27462844289,1,3,145,3
"109",27462844289,1,4,205,3
"110",27462844289,1,5,405,7
"111",27462844289,1,6,465,7
"112",35540978058,1,2,-65,4
"113",35540978058,1,3,45,5
"114",35540978058,1,4,203,5
"115",35540978058,1,5,178,5
"116",35674260254,1,2,17,2
"117",35674260254,1,3,62,2
"118",35674260254,1,4,122,2
"119",35674260254,1,5,102,3
"120",35674260254,1,6,187,3
"121",35674260254,1,7,207,3
"122",35674260254,1,8,137,6
"123",36513357018,1,2,263,0
"124",36513357018,1,3,280,0
"125",36513357018,1,4,335,0
"126",36513357018,1,5,365,0
"127",36574928690,1,2,-50,2
"128",36574928690,1,3,-110,7
"129",36574928690,1,4,-50,7
"130",36574928690,1,5,70,7
"131",36613205733,1,2,-20,6
"132",36613205733,1,3,-20,7
"133",36613205733,1,4,0,9
"134",36613205733,1,5,-178,12
"135",36613205733,1,6,-133,13
"136",36910165248,1,2,35,2
"137",36910165248,1,3,-120,5
"138",36910165248,1,4,-85,7
"139",36910165248,1,5,-20,7
"140",36910165248,1,6,-35,9
"141",36910165248,1,7,30,9
"142",36910165248,1,8,-40,11
"143",36982442137,1,2,-50,8
"144",36982442137,1,3,-85,15
"145",36982442137,1,4,564,21
"146",36982442137,1,5,674,25
"147",36982442137,1,6,714,25
"148",36982442137,1,7,934,25
"149",37241107923,1,2,25,3
"150",37443266749,1,2,36,2
"151",37443266749,1,3,65,2
"152",37443266749,1,4,0,1
"153",37443266749,1,5,35,3
"154",37443266749,1,6,65,3
"155",37745552927,1,2,80,5
"156",37745552927,1,3,75,7
"157",37745552927,1,4,110,11
"158",37745552927,1,5,1274,4
"159",37994506504,1,2,22,2
"160",37994506504,1,3,42,2
"161",37994506504,1,4,90,4
"162",37994506504,1,5,105,1
"163",37994506504,1,6,77,4
"164",37994506504,1,7,117,4
"165",37994506504,1,8,145,6
"166",38631814095,1,2,25,7
"167",38631814095,1,3,565,10
"168",38663832002,1,2,17,2
"169",38663832002,1,3,82,2
"170",38663832002,1,4,102,4
"171",38663832002,1,5,105,1
"172",38663832002,1,6,82,4
"173",38663832002,1,7,147,4
"174",38663832002,1,8,167,6
"175",38708270318,1,2,22,2
"176",38708270318,1,3,42,2
"177",38708270318,1,4,52,4
"178",38708270318,1,5,75,1
"179",38708270318,1,6,47,4
"180",38708270318,1,7,67,4
"181",38708270318,1,8,1097,6
"182",39237426326,1,2,10,1
"183",39237426326,1,3,45,3
"184",39237426326,1,4,110,3
"185",40148868087,1,2,45,2
"186",40148868087,1,3,90,2
"187",40148868087,1,4,110,2
"188",40148868087,1,5,135,4
"189",40148868087,1,6,170,4
"190",40148868087,1,7,195,4
"191",40175359932,1,2,65,2
"192",40175359932,1,3,120,2
"193",40175359932,1,4,155,1
"194",40175359932,1,5,190,3
"195",40175359932,1,6,245,3
"196",40175359932,1,7,285,3
"197",40452911197,1,2,15,0
"198",40452911197,1,3,40,0
"199",40452911197,1,4,50,0
"200",40452911197,1,5,-48,0
"201",40452911197,1,6,-33,0
"202",40452911197,1,7,-8,0
"203",40452911197,1,8,2,0
"204",40565901878,1,2,135,2
"205",40565901878,1,3,-105,6
"206",41802068265,1,2,-10,4
"207",41802068265,1,3,0,4
"208",41802068265,1,4,-40,9
"209",41802068265,1,5,5,9
"210",41802068265,1,6,290,18
"211",41802068265,1,7,-15,13
"212",41802068265,1,8,410,9
"213",42468840454,1,2,-80,2
"214",42468840454,1,3,10,5
"215",42468840454,1,4,-30,4
"216",42468840454,1,5,20,6
"217",42468840454,1,6,45,5
"218",42468840454,1,7,135,8
"219",42468840454,1,8,5,9
"220",42681494957,1,2,-60,7
"221",42681494957,1,3,-30,9
"222",42681494957,1,4,-38,13
"223",42681494957,1,5,-3,13
"224",42981617542,1,2,-30,2
"225",42981617542,1,3,90,5
"226",42981617542,1,4,150,8
"227",42981617542,1,5,475,8
"228",42981617542,1,6,575,9
"229",42981617542,1,7,95,8
"230",42981617542,1,8,475,11
"231",43168072227,1,2,42.1499999999996,1
"232",43168072227,1,3,157.86,5
