"","item_id","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","price_ref_adjgift","bundle_add_on","price_ref_rel","num_of_acc_rel","premium","premium_percent","ind_firstbundle_noacc","premrel1","prem_adjacent","benchmark","prem_adjacent_perc","Author","bundleindexhigh","diff"
"1",16831203027,2,14,12,2,2,3,3,0,4,2990,345,185,240,345,14,-105,-0.0351170568561873,TRUE,17,42,2750,0.0152727272727273,"suyang",3,2
"2",16831203027,3,15,13,2,2,3,3,0,4,3042,355,180,292,355,15,-63,-0.0207100591715976,TRUE,59,-180,2750,-0.0654545454545455,"suyang",4,10
"3",16831203027,4,20,18,3,3,5,5,0,5,3070,563,263,320,563,20,-243,-0.0791530944625407,TRUE,-121,30,2750,0.0109090909090909,"suyang",5,3
"4",16831203027,5,21,19,3,3,5,5,0,5,3110,573,258,360,573,21,-213,-0.0684887459807074,TRUE,-91,-17,2750,-0.00618181818181818,"suyang",6,6
"5",16831203027,6,23,21,3,3,6,6,0,6,3150,630,285,400,630,23,-230,-0.073015873015873,TRUE,-108,75,2750,0.0272727272727273,"suyang",7,2
"6",16831203027,7,23,21,3,3,6,6,0,6,3220,625,280,470,625,23,-155,-0.0481366459627329,TRUE,-33,70,2750,0.0254545454545455,"suyang",8,2
"7",18053093587,2,9,9,4,4,2,2,0,0,3548,575,525,268,575,9,-307,-0.0865276211950395,TRUE,-80,75,3280,0.0228658536585366,"suyang",3,6
"8",18053093587,3,11,10,4,4,2,2,0,1,3638,590,500,358,590,11,-232,-0.0637713029136888,TRUE,-5,50,3280,0.0152439024390244,"suyang",4,4
"9",18053093587,4,11,10,4,4,2,2,0,1,3708,610,520,428,610,11,-182,-0.0490830636461704,TRUE,45,-280,3280,-0.0853658536585366,"suyang",5,5
"10",18053093587,5,14,13,6,6,5,5,0,1,3808,990,880,528,990,14,-462,-0.121323529411765,TRUE,-235,40,3280,0.0121951219512195,"suyang",6,2
"11",18053093587,6,14,13,6,6,5,5,0,1,3868,1010,900,588,1010,14,-422,-0.109100310237849,TRUE,-195,200,3280,0.0609756097560976,"suyang",7,2
"12",18352298789,2,7,7,5,5,1,1,0,0,3800,385,335,350,385,7,-35,-0.00921052631578947,TRUE,95,25,3450,0.0072463768115942,"suyang",3,1
"13",18352298789,3,8,8,6,6,1,1,0,0,3840,400,350,390,400,8,-10,-0.00260416666666667,TRUE,120,200,3450,0.0579710144927536,"suyang",4,3
"14",18352298789,4,9,9,6,6,3,3,0,0,4090,450,380,640,450,9,190,0.0464547677261614,TRUE,320,-260,3450,-0.0753623188405797,"suyang",5,4
"15",18352298789,5,9,9,6,6,2,2,0,0,3900,520,450,450,520,9,-70,-0.0179487179487179,TRUE,60,270,3450,0.0782608695652174,"suyang",6,4
"16",18352298789,6,9,9,6,6,3,3,0,0,4150,500,430,700,500,9,200,0.0481927710843374,TRUE,330,-220,3450,-0.063768115942029,"suyang",7,5
"17",18352298789,7,10,10,7,7,3,3,0,0,4100,670,600,650,670,10,-20,-0.0048780487804878,TRUE,110,170,3450,0.0492753623188406,"suyang",8,3
"18",18820622609,2,9,9,4,4,5,5,0,0,4100,325,280,650,325,9,325,0.0792682926829268,TRUE,80,-130,3450,-0.0376811594202899,"suyang",3,4
"19",18999829018,2,9,9,7,7,9,9,0,1,3230,340,290,390,340,9,50,0.0154798761609907,TRUE,10,0,2840,0,"suyang",3,2
"20",18999829018,3,9,9,7,7,9,9,0,1,3260,370,320,420,370,9,50,0.0153374233128834,TRUE,10,-30,2840,-0.0105633802816901,"suyang",4,3
"21",18999829018,4,10,10,8,8,10,10,0,1,3260,400,350,420,400,10,20,0.00613496932515337,TRUE,-20,50,2840,0.0176056338028169,"suyang",5,2
"22",18999829018,5,10,10,8,8,10,10,0,1,3350,440,390,510,440,10,70,0.0208955223880597,TRUE,30,180,2840,0.0633802816901408,"suyang",6,2
"23",18999829018,6,10,10,8,8,10,10,0,1,3560,470,420,720,470,10,250,0.0702247191011236,TRUE,210,-195,2840,-0.0686619718309859,"suyang",7,4
