"","item_id","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","price_ref_adjgift","bundle_add_on","price_ref_rel","num_of_acc_rel","premium","premium_percent","ind_firstbundle_noacc","premrel1","Author","diff"
"1",16831203027,1,14,12,2,2,3,3,0,4,2960,332,172,210,332,14,-122,-0.0412162162162162,TRUE,0,NA,0
"2",16831203027,2,14,12,2,2,3,3,0,4,2990,345,185,240,345,14,-105,-0.0351170568561873,TRUE,17,"suyang",2
"3",16831203027,3,15,13,2,2,3,3,0,4,3042,355,180,292,355,15,-63,-0.0207100591715976,TRUE,59,"suyang",2
"4",16831203027,3,15,13,2,2,3,3,0,4,3042,355,180,292,355,15,-63,-0.0207100591715976,TRUE,59,"suyang",10
"5",16831203027,4,20,18,3,3,5,5,0,5,3070,563,263,320,563,20,-243,-0.0791530944625407,TRUE,-121,NA,0
"6",16831203027,5,21,19,3,3,5,5,0,5,3110,573,258,360,573,21,-213,-0.0684887459807074,TRUE,-91,"suyang",9
"7",16831203027,6,23,21,3,3,6,6,1,6,3150,630,285,400,630,23,-230,-0.073015873015873,TRUE,-108,"suyang",11
"8",16831203027,7,23,21,3,3,6,6,1,6,3220,625,280,470,625,23,-155,-0.0481366459627329,TRUE,-33,"suyang",11
"9",16831203027,8,23,21,3,3,6,6,1,6,3310,645,300,560,645,23,-85,-0.0256797583081571,TRUE,37,"suyang",11
"10",18053093587,1,9,9,4,4,2,2,0,0,3478,425,375,198,425,9,-227,-0.0652673950546291,TRUE,0,NA,0
"11",18053093587,2,9,9,4,4,2,2,0,0,3548,575,525,268,575,9,-307,-0.0865276211950395,TRUE,-80,"suyang",2
"12",18053093587,3,11,10,4,4,2,2,0,1,3638,590,500,358,590,11,-232,-0.0637713029136888,TRUE,-5,"suyang",8
"13",18053093587,3,11,10,4,4,2,2,0,1,3638,590,500,358,590,11,-232,-0.0637713029136888,TRUE,-5,"suyang",8
"14",18053093587,4,11,10,4,4,2,2,0,1,3708,610,520,428,610,11,-182,-0.0490830636461704,TRUE,45,NA,0
"15",18053093587,5,14,13,6,6,5,5,0,1,3808,990,880,528,990,14,-462,-0.121323529411765,TRUE,-235,"suyang",11
"16",18053093587,6,14,13,6,6,5,5,0,1,3868,1010,900,588,1010,14,-422,-0.109100310237849,TRUE,-195,"suyang",11
"17",18053093587,7,14,13,6,6,5,5,1,1,4088,1030,920,808,1030,14,-222,-0.0543052837573385,TRUE,5,"suyang",11
"18",18352298789,1,5,5,3,3,1,1,0,0,3620,300,250,170,300,5,-130,-0.0359116022099447,TRUE,0,NA,0
"19",18352298789,2,7,7,5,5,1,1,0,0,3800,385,335,350,385,7,-35,-0.00921052631578947,TRUE,95,"suyang",2
"20",18352298789,3,8,8,6,6,1,1,0,0,3840,400,350,390,400,8,-10,-0.00260416666666667,TRUE,120,"suyang",3
"21",18352298789,3,8,8,6,6,1,1,0,0,3840,400,350,390,400,8,-10,-0.00260416666666667,TRUE,120,"suyang",4
"22",18352298789,4,9,9,6,6,3,3,1,0,4090,450,380,640,450,9,190,0.0464547677261614,TRUE,320,NA,0
"23",18352298789,5,9,9,6,6,2,2,0,0,3900,520,450,450,520,9,-70,-0.0179487179487179,TRUE,60,"suyang",6
"24",18352298789,6,9,9,6,6,3,3,1,0,4150,500,430,700,500,9,200,0.0481927710843374,TRUE,330,"suyang",6
"25",18352298789,7,10,10,7,7,3,3,0,0,4100,670,600,650,670,10,-20,-0.0048780487804878,TRUE,110,"suyang",7
"26",18352298789,8,11,11,8,8,3,3,0,0,4300,700,630,850,700,11,150,0.0348837209302326,TRUE,280,"suyang",8
"27",18820622609,1,8,8,3,3,4,4,0,0,3900,205,160,450,205,8,245,0.0628205128205128,TRUE,0,NA,0
"28",18820622609,2,9,9,4,4,5,5,0,0,4100,325,280,650,325,9,325,0.0792682926829268,TRUE,80,"suyang",3
"29",18820622609,3,9,9,4,4,5,5,0,0,4200,555,510,750,555,9,195,0.0464285714285714,TRUE,-50,"suyang",5
"30",18999829018,1,9,9,7,7,9,9,0,1,3180,300,250,340,300,9,40,0.0125786163522013,TRUE,0,NA,0
"31",18999829018,2,9,9,7,7,9,9,0,1,3230,340,290,390,340,9,50,0.0154798761609907,TRUE,10,"suyang",2
"32",18999829018,3,9,9,7,7,9,9,0,1,3260,370,320,420,370,9,50,0.0153374233128834,TRUE,10,"suyang",2
"33",18999829018,3,9,9,7,7,9,9,0,1,3260,370,320,420,370,9,50,0.0153374233128834,TRUE,10,"suyang",1
"34",18999829018,4,10,10,8,8,10,10,0,1,3260,400,350,420,400,10,20,0.00613496932515337,TRUE,-20,NA,0
"35",18999829018,5,10,10,8,8,10,10,0,1,3350,440,390,510,440,10,70,0.0208955223880597,TRUE,30,"suyang",3
"36",18999829018,6,10,10,8,8,10,10,0,1,3560,470,420,720,470,10,250,0.0702247191011236,TRUE,210,"suyang",3
"37",18999829018,7,12,12,9,9,12,12,0,1,3510,615,520,670,615,12,55,0.0156695156695157,TRUE,15,"suyang",5
"38",18999829018,8,12,12,9,9,12,12,0,1,3610,735,640,770,735,12,35,0.00969529085872576,TRUE,-5,"suyang",7
"39",19999809846,1,21,19,7,7,5,5,0,5,3080,408,190,230,408,20,-178,-0.0577922077922078,FALSE,0,NA,0
"40",19999809846,2,21,19,7,7,5,5,0,5,3120,403,185,270,403,20,-133,-0.0426282051282051,FALSE,45,"suyang",2
"41",19999809846,3,23,21,9,9,5,5,0,5,3190,603,385,340,603,22,-263,-0.0824451410658307,FALSE,-85,"suyang",6
"42",19999809846,3,23,21,9,9,5,5,0,5,3190,603,385,340,603,22,-263,-0.0824451410658307,FALSE,-85,"suyang",7
"43",19999809846,4,26,24,10,10,6,6,0,5,3250,788,450,400,788,25,-388,-0.119384615384615,FALSE,-210,NA,0
"44",19999809846,5,27,25,10,10,6,6,0,5,3290,838,445,440,838,26,-398,-0.1209726443769,FALSE,-220,"suyang",10
"45",19999809846,6,28,26,10,10,7,7,1,5,3350,868,465,500,868,27,-368,-0.109850746268657,FALSE,-190,"suyang",9
"46",19999809846,7,29,27,10,10,8,8,1,5,3400,878,460,550,878,28,-328,-0.0964705882352941,FALSE,-150,"suyang",12
"47",19999809846,8,29,27,0,0,8,8,1,5,3470,898,0,620,898,28,-278,-0.0801152737752161,FALSE,-100,"suyang",12
"48",20167630571,1,12,12,12,12,2,2,0,0,3010,348,348,230,348,12,-118,-0.039202657807309,TRUE,0,NA,0
"49",20167630571,2,14,14,14,14,4,4,0,0,3080,428,428,300,428,14,-128,-0.0415584415584416,TRUE,-10,"suyang",4
"50",20167630571,3,14,14,14,14,4,4,0,0,3120,423,423,340,423,14,-83,-0.0266025641025641,TRUE,35,"suyang",6
"51",20167630571,3,14,14,14,14,4,4,0,0,3120,423,423,340,423,14,-83,-0.0266025641025641,TRUE,35,"suyang",8
"52",20167630571,4,14,14,14,14,4,4,0,0,3190,458,458,410,458,14,-48,-0.0150470219435737,TRUE,70,NA,0
"53",20167630571,5,16,16,16,16,4,4,0,0,3450,523,523,670,523,16,147,0.0426086956521739,TRUE,265,"suyang",8
"54",20186366493,1,16,14,9,7,1,1,2,2,5080,440,205,1970,440,16,1530,0.301181102362205,TRUE,0,NA,0
"55",20186366493,2,17,15,10,8,1,1,2,2,5120,495,260,2010,495,17,1515,0.2958984375,TRUE,-15,"suyang",3
"56",20186366493,3,17,15,10,8,1,1,2,2,5150,500,265,2040,500,17,1540,0.299029126213592,TRUE,10,"suyang",3
"57",20186366493,3,17,15,10,8,1,1,2,2,5150,500,265,2040,500,17,1540,0.299029126213592,TRUE,10,"suyang",1
"58",20186366493,4,17,15,10,8,1,1,2,2,5190,500,265,2080,500,17,1580,0.304431599229287,TRUE,50,NA,0
"59",20186366493,5,18,16,11,9,1,1,2,2,5240,555,320,2130,555,18,1575,0.300572519083969,TRUE,45,"suyang",4
"60",20186366493,6,18,16,11,9,1,1,2,2,5270,560,325,2160,560,18,1600,0.303605313092979,TRUE,70,"suyang",4
"61",20186366493,7,18,16,11,9,1,1,3,2,5350,570,335,2240,570,18,1670,0.31214953271028,TRUE,140,"suyang",4
"62",20186366493,8,18,16,11,9,1,1,3,2,5380,575,340,2270,575,18,1695,0.315055762081784,TRUE,165,"suyang",4
"63",20373091017,1,9,9,2,2,0,0,1,0,3110,235,65,160,235,9,-75,-0.0241157556270096,TRUE,0,NA,0
"64",20373091017,2,9,9,2,2,0,0,1,0,3130,250,65,180,250,9,-70,-0.0223642172523962,TRUE,5,"suyang",2
"65",20373091017,3,9,9,2,2,0,0,1,0,3130,285,65,180,285,9,-105,-0.0335463258785942,TRUE,-30,"suyang",2
"66",20728727154,1,11,11,6,6,2,2,0,0,3538,445,360,180,445,11,-265,-0.0749010740531374,TRUE,0,NA,0
"67",20728727154,2,13,13,8,8,3,3,0,0,3658,615,530,300,615,13,-315,-0.0861126298523783,TRUE,-50,"suyang",6
"68",20728727154,3,13,13,8,8,3,3,0,0,3768,790,705,410,790,13,-380,-0.100849256900212,TRUE,-115,"suyang",8
"69",20728727154,3,13,13,8,8,3,3,0,0,3768,790,705,410,790,13,-380,-0.100849256900212,TRUE,-115,"suyang",9
"70",20728727154,4,14,14,8,8,3,3,0,0,3958,835,620,600,835,14,-235,-0.0593734209196564,TRUE,30,NA,0
"71",20728727154,5,14,14,8,8,4,4,1,1,4088,960,745,730,960,14,-230,-0.0562622309197652,TRUE,35,"suyang",13
"72",20728727154,6,14,14,8,8,5,5,2,0,4188,920,705,830,920,14,-90,-0.0214899713467049,TRUE,175,"suyang",13
"73",20728727154,7,14,14,8,8,5,5,2,0,4358,920,705,1000,920,14,80,0.018357044515833,TRUE,345,"suyang",13
