"","ItemID.LIsting_id.","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref"
"1",44775927447,0,8,5,5,5,8,5,0,0,4099,0
"2",44775927447,1,16,13,13,13,16,13,1,0,4298,0
"3",44775927447,2,17,14,14,14,17,14,1,0,4357,0
"4",44775927447,3,19,16,16,16,19,16,1,0,4457,0
"5",44775927447,4,19,16,16,16,19,16,1,0,4497,0
"6",44775927447,5,17,14,14,14,17,14,1,0,4597,0
"7",44775927447,6,17,14,14,14,17,14,1,0,4957,0
"8",44786859649,0,4,4,4,4,4,4,0,1,3889,235
"9",44786859649,1,13,13,7,7,13,13,0,1,4058,560
"10",44786859649,2,13,13,7,7,13,13,0,1,4128,705
"11",44786859649,3,15,14,9,9,15,14,0,2,4248,775
"12",44786859649,4,15,14,9,9,15,14,0,2,4318,795
"13",44786859649,5,18,17,11,11,18,17,1,2,4578,1005
"14",44802066649,22,0,0,0,0,0,0,0,0,4499,0
"15",44802066649,23,10,10,5,5,10,10,0,1,4689,206
"16",44802066649,24,13,13,7,7,13,13,1,1,4989,416
"17",44802066649,25,4,4,3,3,4,4,1,1,4669,100
"18",44802066649,26,11,11,6,6,11,11,1,1,4919,386
"19",44802066649,27,14,14,8,8,14,14,1,1,5219,666
"20",44843925113,0,0,0,0,0,0,0,0,0,3939,0
"21",44843925113,1,8,7,8,7,5,4,1,1,4199,545
"22",44843925113,2,9,8,9,8,5,4,0,1,4349,343
"23",44843925113,3,11,10,11,10,5,4,0,1,4549,808
"24",44843925113,4,12,11,12,11,7,6,1,1,4849,888
"25",44843925113,5,13,12,13,12,7,6,1,1,5149,1078
"26",44862851215,0,10,9,8,7,4,4,0,5,5098,235
"27",44862851215,1,15,13,13,11,5,5,0,6,5278,370
"28",44900143046,0,4,4,4,4,4,4,0,1,3920,235
"29",44900143046,1,13,12,6,6,13,12,0,3,4050,320
"30",44900143046,2,14,13,7,7,14,13,1,4,4130,315
"31",44900143046,3,14,13,7,7,14,13,1,5,4200,285
"32",44900143046,4,15,14,8,8,15,14,1,5,4320,335
"33",44900143046,5,16,15,9,9,16,15,0,6,4450,785
"34",44900143046,6,18,17,11,11,18,17,0,7,4920,530
