"","Author","item_id","bundle_index","bundle_price","dict_index","bundle_add_on","p_add_on_est","num_of_gifts","num_of_access_b0raw","ind_bundle0gd","num_of_access","premium"
"1","Eveline_Dong",18820622609,1,3900,"CC07",0,126,5,8,0,8,-126
"2","Eveline_Dong",18820622609,2,4100,"CC08",200,137,5,9,0,9,63
"3","Eveline_Dong",18820622609,3,4200,"CC43",300,81,5,9,0,9,219
"4","Eveline_Dong",20186366493,1,5080,"CC01",0,152,7,16,0,16,-152
"5","Eveline_Dong",20186366493,2,5120,"CC02",40,199,7,17,0,17,-159
"6","Eveline_Dong",20186366493,3,5150,"CC33",70,205,7,17,0,17,-135
"7","Eveline_Dong",20186366493,4,5190,"CC01",110,196,7,17,0,17,-86
"8","Eveline_Dong",20186366493,5,5240,"CC02",160,243,7,18,0,18,-83
"9","Eveline_Dong",20186366493,6,5270,"CC33",190,249,7,18,0,18,-59
"10","Eveline_Dong",20186366493,7,5350,"CC02",270,248,7,18,0,18,22
"11","Eveline_Dong",20186366493,8,5380,"CC33",300,254,7,18,0,18,46
"12","Eveline_Dong",20373091017,1,3110,"CC25",0,52,6,8,0,8,-52
"13","Eveline_Dong",20373091017,2,3130,"CC26",20,52,6,8,0,8,-32
"14","Eveline_Dong",20373091017,3,3130,"CC27",20,52,6,8,0,8,-32
"15","Eveline_Dong",20728727154,1,3538,"CC17",0,96,5,11,0,11,-96
"16","Eveline_Dong",20728727154,2,3658,"CC16",120,225,5,13,0,13,-105
"17","Eveline_Dong",20728727154,3,3768,"CC15",230,218,5,13,0,13,12
"18","Eveline_Dong",20728727154,4,3958,"CC15",420,205,6,14,0,14,215
"19","Eveline_Dong",20728727154,5,4088,"CC15",550,274,6,14,0,14,276
"20","Eveline_Dong",20728727154,6,4188,"CC15",650,217,6,14,0,14,433
"21","Eveline_Dong",20728727154,7,4358,"CC43",820,297,6,14,0,14,523
"22","Eveline_Dong",20728727154,8,4500,"CC43",962,257,6,16,0,16,705
"23","Eveline_Dong",23896264169,1,3350,"CC19",0,64,6,9,0,9,-64
"24","Eveline_Dong",23896264169,2,3450,"CC19",100,164,7,11,0,11,-64
"25","Eveline_Dong",23896264169,3,3450,"CC07",100,64,7,10,0,10,36
"26","Eveline_Dong",23896264169,4,3550,"CC07",200,67,8,12,0,12,133
"27","Eveline_Dong",23896264169,5,3650,"CC08",300,148,8,13,0,13,152
"28","Eveline_Dong",23896264169,6,3800,"CC07",450,160,8,13,0,13,290
"29","Eveline_Dong",23896264169,7,3920,"CC08",570,180,8,13,0,13,390
"30","Eveline_Dong",23896264169,8,4050,"CC47",700,154,7,13,0,13,546
"31","Eveline_Dong",24319152517,0,3348,"",0,0,0,1,1,0,0
"32","Eveline_Dong",24319152517,1,3598,"CC06",250,135,0,5,0,5,115
"33","Eveline_Dong",24319152517,2,3798,"CC16",450,208,0,7,0,7,242
"34","Eveline_Dong",24319152517,3,4098,"CC16",750,306,0,11,0,11,444
