"","item_id","bundle_index1","bundle_index2","premrel","diff","share","filtered_item_share"
"1",16831203027,1,2,22.5,2,0.0592592592592593,"0.135593220338983"
"2",16831203027,1,3,55.5,1,0.0592592592592593,"0.101694915254237"
"3",16831203027,1,4,-103.5,10,0.0518518518518519,"0.0847457627118644"
"4",16831203027,1,5,-82.5,9,0.0740740740740741,"0.101694915254237"
"5",16831203027,5,6,32,6,0.0666666666666667,"0.0508474576271186"
"6",16831203027,5,7,84,4,0.0222222222222222,"0.0169491525423729"
"7",16831203027,5,8,140,6,0.525925925925926,"0.305084745762712"
"8",18053093587,1,2,60,2,NA,NA
"9",18053093587,1,3,112,8,NA,NA
"10",18053093587,1,4,148,8,NA,NA
"11",18053093587,1,5,-67.9,11,NA,NA
"12",18053093587,5,6,26,2,NA,NA
"13",18053093587,5,7,227.9,4,NA,NA
"14",18352298789,1,2,130,2,NA,NA
"15",18352298789,1,3,155,3,NA,NA
"16",18352298789,1,4,372,4,NA,NA
"17",18352298789,1,5,89.99,6,NA,NA
"18",18352298789,5,6,316,4,NA,NA
"19",18352298789,5,7,50,1,NA,NA
"20",18352298789,5,8,329,4,NA,NA
"21",18820622609,1,2,121,3,NA,NA
"22",18820622609,1,3,126,5,NA,NA
"23",18999829018,1,2,44.9,2,0.5,"0.5"
"24",18999829018,1,3,41.9,2,NA,NA
"25",18999829018,1,4,35,1,NA,NA
"26",18999829018,1,5,119.9,3,NA,NA
"27",18999829018,5,6,177,2,NA,NA
"28",18999829018,5,7,-15,2,NA,NA
"29",18999829018,5,8,-38,6,NA,NA
"30",19999809846,1,2,22,2,0.119047619047619,"0.12"
"31",19999809846,1,3,-108,6,0.0952380952380952,"0.16"
"32",19999809846,1,4,-195,7,0.119047619047619,"0.04"
"33",19999809846,1,5,-228,10,0.0952380952380952,"0.08"
"34",19999809846,5,6,83,5,0.0476190476190476,"0.08"
"35",19999809846,5,7,100,4,0.0476190476190476,"0.04"
"36",19999809846,5,8,136,6,0.0476190476190476,"0.08"
"37",20167630571,1,2,15,4,0.317757009345794,"0.318181818181818"
"38",20167630571,1,3,37,6,0.214953271028037,"0.212121212121212"
"39",20167630571,1,4,58,8,0.205607476635514,"0.242424242424242"
"40",20167630571,1,5,253,8,0.11214953271028,"0.151515151515152"
"41",20186366493,1,2,-5.98000000000002,3,NA,NA
"42",20186366493,1,3,10.1,3,NA,NA
"43",20186366493,1,4,65,1,NA,NA
"44",20186366493,1,5,69.02,4,NA,NA
"45",20186366493,5,6,16.08,2,NA,NA
"46",20186366493,5,7,125,2,NA,NA
"47",20186366493,5,8,141.08,4,NA,NA
"48",20373091017,1,2,30,2,NA,NA
"49",20373091017,1,3,25,2,NA,NA
"50",20728727154,1,2,-5.99000000000001,6,NA,NA
"51",20728727154,1,3,88,8,NA,NA
"52",20728727154,1,4,93,9,NA,NA
"53",20728727154,1,5,393,13,NA,NA
"54",20728727154,5,6,-130,4,NA,NA
"55",20728727154,5,7,52,8,NA,NA
"56",20728727154,5,8,91.71,8,NA,NA
"57",23896264169,1,2,-134,4,NA,NA
"58",23896264169,1,3,-106,5,NA,NA
"59",23896264169,1,4,-74,7,NA,NA
"60",23896264169,1,5,31,8,NA,NA
"61",23896264169,5,6,-116,4,NA,NA
"62",23896264169,5,7,-68,4,NA,NA
"63",23896264169,5,8,-1.80000000000007,6,NA,NA
"64",23924620234,1,2,-68.9,4,NA,NA
"65",23924620234,1,3,-67,4,NA,NA
"66",23924620234,1,4,-98,6,NA,NA
"67",23924620234,1,5,-56.9,8,NA,NA
"68",23924620234,5,6,1.89999999999998,2,NA,NA
"69",23969324559,1,2,-168,7,NA,NA
"70",23969324559,1,3,-226,9,NA,NA
"71",23969324559,1,4,-241,13,NA,NA
"72",23969324559,1,5,-182,13,NA,NA
"73",23969324559,5,6,0,0,NA,NA
"74",23969324559,5,7,60,0,NA,NA
"75",23969324559,5,8,150,0,NA,NA
"76",24291960195,1,2,59,3,NA,NA
"77",24291960195,1,3,119.1,7,NA,NA
"78",24291960195,1,4,321,7,NA,NA
"79",24291960195,1,5,224.1,7,NA,NA
"80",24291960195,5,6,45.6000000000001,2,NA,NA
"81",24291960195,5,7,247.5,4,NA,NA
"82",24319152517,1,2,167.01,4,NA,NA
"83",24319152517,1,3,39.01,12,1,"."
"84",24319152517,1,4,310.1,12,NA,NA
"85",24319152517,1,5,455.1,13,NA,NA
"86",24596036343,1,2,-30,2,0.2,"."
"87",24596036343,1,3,84,5,0.6,"."
"88",24596036343,1,4,167,8,NA,NA
"89",24596036343,1,5,467,8,NA,NA
"90",24596036343,5,6,108,3,NA,NA
"91",24596036343,5,7,-378,10,NA,NA
"92",24596036343,5,8,8,5,NA,NA
"93",25673844634,1,2,-127.9,8,NA,NA
"94",25673844634,1,3,-121.9,8,NA,NA
"95",25673844634,1,4,-106.9,8,NA,NA
"96",26519380192,1,2,85,3,NA,NA
"97",26519380192,1,3,113,5,NA,NA
"98",26519380192,1,4,218.1,9,NA,NA
"99",26519380192,1,5,173.1,11,NA,NA
"100",26519380192,5,6,20,6,NA,NA
"101",26519380192,5,7,108,8,NA,NA
"102",27462844289,1,2,64,4,0.138157894736842,"0.263157894736842"
"103",27462844289,1,3,174,3,0.171052631578947,"0.157894736842105"
"104",27462844289,1,4,220,3,0.144736842105263,"0.131578947368421"
"105",27462844289,1,5,434,7,0.125,"0.105263157894737"
"106",27462844289,5,6,46,2,0.131578947368421,"0.131578947368421"
"107",35540978058,1,2,111.2,4,0.25,"0.4"
"108",35540978058,1,3,221.2,5,0.375,"0.4"
"109",35540978058,1,4,252.6,5,0.125,"."
"110",35540978058,1,5,222.5,5,NA,NA
"111",35674260254,1,2,22.5,2,NA,NA
"112",35674260254,1,3,44.5,2,NA,NA
"113",35674260254,1,4,90.5,2,NA,NA
"114",35674260254,1,5,152.5,3,NA,NA
"115",35674260254,5,6,62,2,NA,NA
"116",35674260254,5,7,68,2,NA,NA
"117",35674260254,5,8,-2,5,NA,NA
"118",36513357018,1,2,350.5,11,NA,NA
"119",36513357018,1,3,408,12,NA,NA
"120",36513357018,1,4,440,12,NA,NA
"121",36513357018,1,5,456,12,NA,NA
"122",36574928690,1,2,45,2,NA,NA
"123",36574928690,1,3,-45.99,7,NA,NA
"124",36574928690,1,4,38,7,NA,NA
"125",36574928690,1,5,158,7,NA,NA
"126",36613205733,1,2,-18,6,NA,NA
"127",36613205733,1,3,8.00999999999999,7,NA,NA
"128",36613205733,1,4,28.01,9,NA,NA
"129",36613205733,1,5,-46.99,12,NA,NA
"130",36613205733,5,6,83.99,3,NA,NA
"131",36910165248,1,2,26.08,2,0.0854700854700855,"0.0925925925925926"
"132",36910165248,1,3,-120,5,0.0427350427350427,"0.0555555555555556"
"133",36910165248,1,4,-93.92,7,0.094017094017094,"0.0740740740740741"
