"","item_id","bundle_index1","bundle_index2","premrel","diff","share","filtered_item_share"
"1",16831203027,1,2,22.5,2,0.0592592592592593,"0.135593220338983"
"2",16831203027,1,3,55.5,1,0.0592592592592593,"0.101694915254237"
"3",16831203027,1,4,-103.5,10,0.0518518518518519,"0.0847457627118644"
"4",16831203027,1,5,-82.5,9,0.0740740740740741,"0.101694915254237"
"5",16831203027,1,6,-50.5,11,0.0666666666666667,"0.0508474576271186"
"6",16831203027,1,7,1.5,11,0.0222222222222222,"0.0169491525423729"
"7",16831203027,1,8,57.5,11,0.525925925925926,"0.305084745762712"
"8",16831203027,2,3,33,1,0.0592592592592593,"0.101694915254237"
"9",16831203027,2,4,-126,8,0.0518518518518519,"0.0847457627118644"
"10",16831203027,2,5,-105,9,0.0740740740740741,"0.101694915254237"
"11",16831203027,2,6,-73,9,0.0666666666666667,"0.0508474576271186"
"12",16831203027,2,7,-21,11,0.0222222222222222,"0.0169491525423729"
"13",16831203027,2,8,35,11,0.525925925925926,"0.305084745762712"
"14",16831203027,3,4,-159,11,0.0518518518518519,"0.0847457627118644"
"15",16831203027,3,5,-138,8,0.0740740740740741,"0.101694915254237"
"16",16831203027,3,6,-106,12,0.0666666666666667,"0.0508474576271186"
"17",16831203027,3,7,-54,10,0.0222222222222222,"0.0169491525423729"
"18",16831203027,3,8,2,12,0.525925925925926,"0.305084745762712"
"19",16831203027,4,5,21,3,0.0740740740740741,"0.101694915254237"
"20",16831203027,4,6,53,5,0.0666666666666667,"0.0508474576271186"
"21",16831203027,4,7,105,7,0.0222222222222222,"0.0169491525423729"
"22",16831203027,4,8,161,7,0.525925925925926,"0.305084745762712"
"23",16831203027,5,6,32,6,0.0666666666666667,"0.0508474576271186"
"24",16831203027,5,7,84,4,0.0222222222222222,"0.0169491525423729"
"25",16831203027,5,8,140,6,0.525925925925926,"0.305084745762712"
"26",16831203027,6,7,52,2,0.0222222222222222,"0.0169491525423729"
"27",16831203027,6,8,108,2,0.525925925925926,"0.305084745762712"
"28",16831203027,7,8,56,2,0.525925925925926,"0.305084745762712"
"29",18053093587,1,2,60,2,NA,NA
"30",18053093587,1,3,112,8,NA,NA
"31",18053093587,1,4,148,8,NA,NA
"32",18053093587,1,5,-67.9,11,NA,NA
"33",18053093587,1,6,-41.9,11,NA,NA
"34",18053093587,1,7,160,11,NA,NA
"35",18053093587,2,3,52,6,NA,NA
"36",18053093587,2,4,88,6,NA,NA
"37",18053093587,2,5,-127.9,9,NA,NA
"38",18053093587,2,6,-101.9,9,NA,NA
"39",18053093587,2,7,100,9,NA,NA
"40",18053093587,3,4,36,4,NA,NA
"41",18053093587,3,5,-179.9,5,NA,NA
"42",18053093587,3,6,-153.9,7,NA,NA
"43",18053093587,3,7,48,7,NA,NA
"44",18053093587,4,5,-215.9,5,NA,NA
"45",18053093587,4,6,-189.9,3,NA,NA
"46",18053093587,4,7,12,3,NA,NA
"47",18053093587,5,6,26,2,NA,NA
"48",18053093587,5,7,227.9,4,NA,NA
"49",18053093587,6,7,201.9,2,NA,NA
"50",18352298789,1,2,130,2,NA,NA
"51",18352298789,1,3,155,3,NA,NA
"52",18352298789,1,4,372,4,NA,NA
"53",18352298789,1,5,89.99,6,NA,NA
"54",18352298789,1,6,405.99,6,NA,NA
"55",18352298789,1,7,139.99,7,NA,NA
"56",18352298789,1,8,418.99,8,NA,NA
"57",18352298789,2,3,25,1,NA,NA
"58",18352298789,2,4,242,4,NA,NA
"59",18352298789,2,5,-40.01,4,NA,NA
"60",18352298789,2,6,275.99,6,NA,NA
"61",18352298789,2,7,9.99000000000001,5,NA,NA
"62",18352298789,2,8,288.99,6,NA,NA
"63",18352298789,3,4,217,3,NA,NA
"64",18352298789,3,5,-65.01,3,NA,NA
"65",18352298789,3,6,250.99,5,NA,NA
"66",18352298789,3,7,-15.01,4,NA,NA
"67",18352298789,3,8,263.99,5,NA,NA
"68",18352298789,4,5,-282.01,4,NA,NA
"69",18352298789,4,6,33.99,2,NA,NA
"70",18352298789,4,7,-232.01,5,NA,NA
"71",18352298789,4,8,46.99,6,NA,NA
"72",18352298789,5,6,316,4,NA,NA
"73",18352298789,5,7,50,1,NA,NA
"74",18352298789,5,8,329,4,NA,NA
"75",18352298789,6,7,-266,5,NA,NA
"76",18352298789,6,8,13,4,NA,NA
"77",18352298789,7,8,279,3,NA,NA
"78",18820622609,1,2,121,3,NA,NA
"79",18820622609,1,3,126,5,NA,NA
"80",18820622609,2,3,5,4,NA,NA
"81",18999829018,1,2,44.9,2,0.5,"0.5"
"82",18999829018,1,3,41.9,2,NA,NA
"83",18999829018,1,4,35,1,NA,NA
"84",18999829018,1,5,119.9,3,NA,NA
"85",18999829018,1,6,296.9,3,NA,NA
"86",18999829018,1,7,104.9,5,NA,NA
"87",18999829018,1,8,81.9,7,NA,NA
"88",18999829018,2,3,-3,2,NA,NA
"89",18999829018,2,4,-9.89999999999998,3,NA,NA
"90",18999829018,2,5,75,1,NA,NA
"91",18999829018,2,6,252,3,NA,NA
"92",18999829018,2,7,60,3,NA,NA
"93",18999829018,2,8,37,7,NA,NA
"94",18999829018,3,4,-6.89999999999998,3,NA,NA
"95",18999829018,3,5,78,3,NA,NA
"96",18999829018,3,6,255,1,NA,NA
"97",18999829018,3,7,63,5,NA,NA
"98",18999829018,3,8,40,5,NA,NA
"99",18999829018,4,5,84.9,2,NA,NA
"100",18999829018,4,6,261.9,2,NA,NA
"101",18999829018,4,7,69.9,4,NA,NA
"102",18999829018,4,8,46.9,6,NA,NA
"103",18999829018,5,6,177,2,NA,NA
"104",18999829018,5,7,-15,2,NA,NA
"105",18999829018,5,8,-38,6,NA,NA
"106",18999829018,6,7,-192,4,NA,NA
"107",18999829018,6,8,-215,4,NA,NA
"108",18999829018,7,8,-23,4,NA,NA
"109",19999809846,1,2,22,2,0.119047619047619,"0.12"
"110",19999809846,1,3,-108,6,0.0952380952380952,"0.16"
"111",19999809846,1,4,-195,7,0.119047619047619,"0.04"
"112",19999809846,1,5,-228,10,0.0952380952380952,"0.08"
"113",19999809846,1,6,-145,9,0.0476190476190476,"0.08"
"114",19999809846,1,7,-128,12,0.0476190476190476,"0.04"
"115",19999809846,1,8,-92,12,0.0476190476190476,"0.08"
"116",19999809846,2,3,-130,4,0.0952380952380952,"0.16"
"117",19999809846,2,4,-217,9,0.119047619047619,"0.04"
"118",19999809846,2,5,-250,8,0.0952380952380952,"0.08"
"119",19999809846,2,6,-167,11,0.0476190476190476,"0.08"
"120",19999809846,2,7,-150,10,0.0476190476190476,"0.04"
"121",19999809846,2,8,-114,12,0.0476190476190476,"0.08"
"122",19999809846,3,4,-87,5,0.119047619047619,"0.04"
"123",19999809846,3,5,-120,4,0.0952380952380952,"0.08"
"124",19999809846,3,6,-37,7,0.0476190476190476,"0.08"
