,ItemID,two_bundle_index,camera_model,deltaN,dic_index,dictIdx_top2,first,price,fake_brand_id
0,18999829018,"[1, 2]",700d,2,CC38,CC,1,22,0
1,45219159638,"[1, 2]",700d,2,DC07,DC,1,60,0
2,36613205733,"[1, 2]",700d,6,CC24,CC,1,15,0
3,36613205733,"[1, 2]",700d,6,XB35,XB,1,50,0
4,41599133465,"[1, 2]",700d,13,UV01,UV,1,30,0
5,41599133465,"[1, 2]",700d,13,MO04,MO,1,10,0
6,41599133465,"[1, 2]",700d,13,XB07,XB,1,100,0
7,41599133465,"[1, 2]",700d,13,DK01,DK,1,10,0
8,41599133465,"[1, 2]",700d,13,MO01,MO,1,25,0
9,41599133465,"[1, 2]",700d,13,FD01,FD,1,5,0
10,41599133465,"[1, 2]",700d,13,ZG01,ZG,1,30,0
11,41599133465,"[1, 2]",700d,13,SP02,SP,1,10,0
12,41599133465,"[1, 2]",700d,13,QT04,QT,1,10,0
13,41599133465,"[1, 2]",700d,13,RG01,RG,1,10,0
14,41599133465,"[1, 2]",700d,13,YK01,YK,1,20,0
15,41599133465,"[1, 2]",700d,13,FW07,FW,1,,0
16,41599133465,"[1, 2]",700d,13,JC04,JC,1,,0
17,43859660891,"[1, 2]",700d,2,CC24,CC,1,15,0
18,38708270318,"[1, 2]",700d,2,CC05,CC,1,15,0
19,35540978058,"[1, 2]",700d,4,CC06,CC,1,22,0
20,26519380192,"[1, 2]",700d,3,UV25,UV,1,30,1
21,5.21514E+11,"[1, 2]",700d,2,CC05,CC,1,15,0
22,18053093587,"[1, 2]",700d,2,UV48,UV,1,40,1
23,5.22034E+11,"[1, 2]",700d,2,CC01,CC,1,20,0
24,5.2187E+11,"[1, 2]",700d,2,CC01,CC,1,20,0
25,5.22098E+11,"[1, 2]",700d,2,CC05,CC,1,15,0
26,5.23777E+11,"[1, 2]",700d,2,CC02,CC,1,25,0
27,16831203027,"[1, 2]",700d,2,CC05,CC,1,15,0
28,19999809846,"[1, 2]",700d,2,CC06,CC,1,22,0
29,20167630571,"[1, 2]",700d,4,XB35,XB,1,50,0
30,27462844289,"[1, 2]",700d,4,CC06,CC,1,22,0
31,27462844289,"[1, 2]",700d,4,UV04,UV,1,30,0
32,36910165248,"[1, 2]",700d,2,CC02,CC,1,25,0
33,37994506504,"[1, 2]",700d,2,CC05,CC,1,15,0
34,38663832002,"[1, 2]",700d,2,CC05,CC,1,15,0
35,41802068265,"[1, 2]",700d,4,CC02,CC,1,25,0
36,41802068265,"[1, 2]",700d,4,YK13,YK,1,10,0
37,43736454825,"[1, 2]",700d,2,CC06,CC,1,22,0
38,44231886556,"[1, 2]",700d,9,CC02,CC,1,25,0
39,44231886556,"[1, 2]",700d,9,FW20,FW,1,,0
40,44799642380,"[1, 2]",700d,2,CC01,CC,1,20,0
41,45293052304,"[1, 2]",700d,2,CC38,CC,1,22,0
42,45410114111,"[1, 2]",700d,2,CC06,CC,1,22,0
43,5.22145E+11,"[1, 2]",700d,3,CC01,CC,1,20,0
44,5.23084E+11,"[1, 2]",700d,2,CC39,CC,1,35,0
45,18820622609,"[1, 2]",700d,3,CC07,CC,1,33,0
46,20186366493,"[1, 2]",700d,3,CC01,CC,1,20,0
47,20373091017,"[1, 2]",700d,2,CC25,CC,1,40,0
48,20728727154,"[1, 2]",700d,6,CC17,CC,1,20,0
49,20728727154,"[1, 2]",700d,6,YK05,YK,1,15,0
50,23896264169,"[1, 2]",700d,4,UV34,UV,1,80,0
51,24319152517,"[1, 2]",700d,4,CC06,CC,1,22,0
52,35674260254,"[1, 2]",700d,2,CC05,CC,1,15,0
53,36982442137,"[1, 2]",700d,4,CC06,CC,1,22,0
54,36982442137,"[1, 2]",700d,4,MO02,MO,1,20,0
55,36982442137,"[1, 2]",700d,4,UV61,UV,1,30,1
56,37745552927,"[1, 2]",700d,5,CC02,CC,1,25,0
57,37870465778,"[1, 2]",700d,5,CC19,CC,1,39,0
58,37870465778,"[1, 2]",700d,5,MO01,MO,1,25,0
59,37870465778,"[1, 2]",700d,5,QT01,QT,1,30,0
60,37870465778,"[1, 2]",700d,5,XB07,XB,1,100,0
61,37870465778,"[1, 2]",700d,5,YK01,YK,1,20,0
62,40148868087,"[1, 2]",700d,2,CC01,CC,1,20,0
63,40175359932,"[1, 2]",700d,2,CC24,CC,1,15,0
64,44069100271,"[1, 2]",700d,2,CC06,CC,1,22,0
65,5.22086E+11,"[1, 2]",700d,2,CC06,CC,1,22,0
66,5.22744E+11,"[1, 2]",700d,2,CC01,CC,1,20,0
67,42681494957,"[1, 2]",700d,7,CC24,CC,1,15,0
68,42681494957,"[1, 2]",700d,7,XB35,XB,1,50,0
69,37443266749,"[1, 2]",700d,2,CC06,CC,1,22,0
70,43452978184,"[1, 2]",700d,5,CC38,CC,1,22,0
71,43452978184,"[1, 2]",700d,5,UV01,UV,1,30,0
72,25673844634,"[1, 2]",700d,8,CC06,CC,1,22,0
73,23924620234,"[1, 2]",700d,4,CC06,CC,1,22,0
74,40452911197,"[1, 2]",700d,2,CC24,CC,1,15,0
75,43853759026,"[1, 2]",700d,2,CC06,CC,1,22,0
76,44881048637,"[1, 2]",700d,4,CC21,CC,1,20,0
77,37241107923,"[1, 2]",700d,3,MO01,MO,1,25,0
78,23969324559,"[1, 2]",700d,7,CC24,CC,1,15,0
