index_final,product_category_chn,url_example,title_access,p_avg,price_lower_bound,price_upper_bound,Keyword search,Other possible names,Reason for deletion,Compatility,index_removed,suspect for fake brand,,Note,
BD01,肩带,https://detail.tmall.com/item.htm?spm=a230r.1.14.15.57ZLrH&id=44848285990&cm_id=140105335569ed55e27b&abbucket=5&skuId=82840486709,相机背带EW－300D,71.5634009,,,,,item not found,Yes,1,0,,,
BD02,肩带,https://item.taobao.com/item.htm?spm=a230r.1.14.49.rC1TEB&id=43474381580&ns=1&abbucket=13,相机背带 EW－100DB III,71.5634009,5,150,单反手腕带,,,Yes,0,0,,,
BD03,肩带,https://item.taobao.com/item.htm?spm=a230r.1.14.53.57ZLrH&id=522606643900&ns=1&abbucket=13,快枪手肩带,223.2705192,20,220,item not found in bundle,,,Yes,0,0,,,
BD04,肩带,http://world.taobao.com/item/44419589190.htm#detail,彩色肩带,60.38568849,10,99,彩色相机肩带,,,Yes,0,0,,,
BD05,肩带,http://world.taobao.com/item/45219159638.htm#detail,肩带,93.75916479,10,99,单反肩带,,,Yes,0,0,,,
BD06,,http://world.tmall.com/item/524363803259.htm#detail?sku_properties=5919063:6536025,GOTO 时尚肩带,,2,65,GOTO 相机肩带,,,Yes,0,0,,,
BJ01,渐变镜,http://world.taobao.com/item/522033862841.htm#detail,多色渐变镜,30.11666667,1,60,,,,U,0,0,,,
BU01,擦布,https://item.taobao.com/item.htm?spm=a230r.1.14.49.rC1TEB&id=43474381580&ns=1&abbucket=19,数码擦镜布,150.723386,1,50,,镜头擦布，高级擦布,,Yes,0,0,,,
BU02,擦布,http://world.taobao.com/item/45219159638.htm#detail,高级擦布,13.78016667,,,,,same as BU01,Yes,1,0,,,
BU04,擦布,http://world.taobao.com/item/27462844289.htm?spm=a312a.7700714.0.0.noAj4C#detail,品胜魔布,19.80708738,1,10,,,,Yes,0,0,,,
BU05,擦布,http://world.taobao.com/item/24596036343.htm#detail,镜头专用麂皮,17.06,0,15,,,,Yes,0,0,,,
BU06,擦布,http://world.taobao.com/item/43426870825.htm#detail,魔布,30.87009009,1,20,,,,Yes,0,0,,,
BU07,清洁,http://world.taobao.com/item/522863996797.htm#detail,镜头擦布,15.58079007,,,,,same as BU01,Yes,1,0,,,
CC01,储存卡,,4G内存卡,45.00758465,10,45,,,,Yes,0,0,,,
CC02,储存卡,http://world.taobao.com/item/41802068265.htm#detail,8G闪存卡,44.74288939,15,50,,,,Yes,0,0,,,
CC03,储存卡,http://world.taobao.com/item/44799639459.htm#detail,64G内存卡,252.2484424,60,280,,,,Yes,0,0,,,
CC04,储存卡,https://detail.tmall.com/item.htm?spm=a220o.1000855.0.da321h.j7h6ds&id=44878368096&skuId=99988956126,32G内存卡,116.8113995,30,120,,,,Yes,0,0,,,
CC05,储存卡,http://world.taobao.com/item/35674260254.htm#detail,闪迪4G C4 SD,21.20416667,8,25,,,,Yes,0,0,,,
CC06,储存卡,http://world.taobao.com/item/42468840454.htm#detail,闪迪8G C10 SDHC,66.9147619,10,50,,,,Yes,0,0,,,
CC07,储存卡,http://world.tmall.com/item/23931676362.htm?spm=a312a.7700714.0.0.VDbzGU&sku_properties=5919063:3266779,闪迪16G C10 40m/s SD,49.34,35,60,,闪迪16GSD266/s高速内存卡,,Yes,0,0,,,
CC08,储存卡,http://world.tmall.com/item/23931676362.htm?spm=a312a.7700714.0.0.VDbzGU&sku_properties=5919063:3266779,闪迪32G C10 40m/s SD,81.475,75,100,,,,Yes,0,0,,,
CC09,储存卡,http://world.tmall.com/item/23931676362.htm?spm=a312a.7700714.0.0.VDbzGU&sku_properties=5919063:3266779,闪迪16G 120m/s CF,229.778125,160,250,,,,Yes,0,0,,,
CC10,储存卡,http://world.tmall.com/item/23931676362.htm?spm=a312a.7700714.0.0.VDbzGU&sku_properties=5919063:3266779,闪迪32G 120m/s CF,301.4112308,180,320,,,,Yes,0,0,,,
CC11,储存卡,https://item.taobao.com/item.htm?spm=a230r.1.14.37.h8GYCj&id=24893184623&ns=1&abbucket=15,金士顿64G SDHC,153.6175676,80,200,,,,Yes,0,0,,,
CC12,储存卡,http://world.taobao.com/item/44245951423.htm#detail,索尼16G 极速卡,104.5953488,50,110,索尼16G 极速SD卡,,,Yes,0,0,,,
CC13,储存卡,http://world.taobao.com/item/44245951423.htm#detail,索尼32G 极速卡,1057.177901,80,160,索尼32G 极速SD卡,,,Yes,0,0,,,
CC14,储存卡,http://world.taobao.com/item/44245951423.htm#detail,索尼64G 极速卡,439.0156634,200,350,索尼64G 极速SD卡,,,Yes,0,0,,,
