Author,ItemID(LIsting_id),bundle_index,diff
suyang,44021641588 ,2,1
suyang,44021641588 ,3,1
suyang,44021641588 ,4,1
suyang,44021641588 ,5,bundle_index = 5 does not exist
suyang,44021641588 ,6,bundle_index = 6 does not exist
suyang,44021641588 ,7,bundle_index = 7 does not exist
suyang,44021641588 ,8,15
suyang,18999829018 ,2,2
suyang,18999829018 ,3,2
suyang,18999829018 ,4,1
suyang,18999829018 ,5,3
suyang,18999829018 ,6,3
suyang,18999829018 ,7,5
suyang,18999829018 ,8,7
suyang,24596036343 ,2,2
suyang,24596036343 ,3,5
suyang,24596036343 ,4,8
suyang,24596036343 ,5,8
suyang,24596036343 ,6,9
suyang,24596036343 ,7,8
suyang,24596036343 ,8,11
suyang,45219159638 ,2,2
suyang,45219159638 ,3,1
suyang,45219159638 ,4,1
suyang,45219159638 ,5,bundle_index = 5 does not exist
suyang,45219159638 ,6,bundle_index = 6 does not exist
suyang,45219159638 ,7,bundle_index = 7 does not exist
suyang,45219159638 ,8,14
suyang,40565901878 ,2,2
suyang,40565901878 ,3,6
suyang,40565901878 ,4,bundle_index = 4 does not exist
suyang,40565901878 ,5,bundle_index = 5 does not exist
suyang,40565901878 ,6,bundle_index = 6 does not exist
suyang,40565901878 ,7,bundle_index = 7 does not exist
suyang,40565901878 ,8,6
suyang,36613205733 ,2,6
suyang,36613205733 ,3,7
suyang,36613205733 ,4,9
suyang,36613205733 ,5,12
suyang,36613205733 ,6,13
suyang,36613205733 ,7,bundle_index = 7 does not exist
suyang,36613205733 ,8,16
suyang,41599133465 ,2,bundle_index = 2 does not exist
suyang,41599133465 ,3,bundle_index = 3 does not exist
suyang,41599133465 ,4,bundle_index = 4 does not exist
suyang,41599133465 ,5,bundle_index = 5 does not exist
suyang,41599133465 ,6,bundle_index = 6 does not exist
suyang,41599133465 ,7,bundle_index = 7 does not exist
suyang,41599133465 ,8,bundle_index = 8 does not exist
suyang,43859660891 ,2,2
suyang,43859660891 ,3,2
suyang,43859660891 ,4,2
suyang,43859660891 ,5,1
suyang,43859660891 ,6,3
suyang,43859660891 ,7,3
suyang,43859660891 ,8,3
suyang,38708270318 ,2,2
suyang,38708270318 ,3,2
suyang,38708270318 ,4,4
suyang,38708270318 ,5,1
suyang,38708270318 ,6,4
suyang,38708270318 ,7,4
suyang,38708270318 ,8,6
suyang,35540978058 ,2,4
suyang,35540978058 ,3,5
suyang,35540978058 ,4,5
suyang,35540978058 ,5,5
suyang,35540978058 ,6,bundle_index = 6 does not exist
suyang,35540978058 ,7,bundle_index = 7 does not exist
suyang,35540978058 ,8,9
suyang,26519380192 ,2,3
suyang,26519380192 ,3,5
suyang,26519380192 ,4,9
suyang,26519380192 ,5,11
suyang,26519380192 ,6,11
suyang,26519380192 ,7,11
suyang,26519380192 ,8,13
suyang,521513506795 ,2,2
suyang,521513506795 ,3,5
suyang,521513506795 ,4,7
suyang,521513506795 ,5,8
suyang,521513506795 ,6,9
suyang,521513506795 ,7,11
suyang,521513506795 ,8,11
suyang,18053093587 ,2,2
suyang,18053093587 ,3,8
suyang,18053093587 ,4,8
suyang,18053093587 ,5,11
suyang,18053093587 ,6,11
suyang,18053093587 ,7,11
suyang,18053093587 ,8,9
suyang,42468840454 ,2,2
suyang,42468840454 ,3,5
suyang,42468840454 ,4,4
suyang,42468840454 ,5,6
suyang,42468840454 ,6,5
suyang,42468840454 ,7,8
suyang,42468840454 ,8,9
suyang,522033862841 ,2,2
suyang,522033862841 ,3,2
suyang,522033862841 ,4,2
suyang,522033862841 ,5,5
suyang,522033862841 ,6,8
suyang,522033862841 ,7,7
suyang,522033862841 ,8,7
suyang,521870063421 ,2,2
suyang,521870063421 ,3,3
suyang,521870063421 ,4,3
suyang,521870063421 ,5,5
suyang,521870063421 ,6,5
suyang,521870063421 ,7,bundle_index = 7 does not exist
suyang,521870063421 ,8,11
suyang,522097809685 ,2,2
suyang,522097809685 ,3,4
suyang,522097809685 ,4,8
suyang,522097809685 ,5,8
suyang,522097809685 ,6,6
suyang,522097809685 ,7,9
suyang,522097809685 ,8,9
suyang,523776961013 ,2,2
suyang,523776961013 ,3,4
suyang,523776961013 ,4,6
suyang,523776961013 ,5,6
suyang,523776961013 ,6,10
suyang,523776961013 ,7,10
suyang,523776961013 ,8,6
suyang,16831203027 ,2,2
suyang,16831203027 ,3,2
suyang,16831203027 ,4,10
suyang,16831203027 ,5,9
suyang,16831203027 ,6,11
suyang,16831203027 ,7,11
suyang,16831203027 ,8,11
suyang,19999809846 ,2,2
suyang,19999809846 ,3,6
suyang,19999809846 ,4,7
suyang,19999809846 ,5,10
suyang,19999809846 ,6,9
suyang,19999809846 ,7,12
suyang,19999809846 ,8,12
suyang,20167630571 ,2,4
suyang,20167630571 ,3,6
suyang,20167630571 ,4,8
suyang,20167630571 ,5,8
suyang,20167630571 ,6,bundle_index = 6 does not exist
suyang,20167630571 ,7,bundle_index = 7 does not exist
suyang,20167630571 ,8,12
suyang,27462844289 ,2,4
suyang,27462844289 ,3,3
suyang,27462844289 ,4,3
suyang,27462844289 ,5,7
suyang,27462844289 ,6,7
suyang,27462844289 ,7,bundle_index = 7 does not exist
suyang,27462844289 ,8,12
suyang,36910165248 ,2,2
suyang,36910165248 ,3,5
suyang,36910165248 ,4,7
suyang,36910165248 ,5,7
suyang,36910165248 ,6,9
suyang,36910165248 ,7,9
suyang,36910165248 ,8,11
suyang,37994506504 ,2,2
suyang,37994506504 ,3,2
suyang,37994506504 ,4,4
suyang,37994506504 ,5,1
suyang,37994506504 ,6,4
suyang,37994506504 ,7,4
suyang,37994506504 ,8,6
suyang,38663832002 ,2,2
suyang,38663832002 ,3,2
suyang,38663832002 ,4,4
suyang,38663832002 ,5,1
suyang,38663832002 ,6,4
suyang,38663832002 ,7,4
suyang,38663832002 ,8,6
suyang,39237426326 ,2,1
suyang,39237426326 ,3,3
suyang,39237426326 ,4,3
suyang,39237426326 ,5,bundle_index = 5 does not exist
suyang,39237426326 ,6,bundle_index = 6 does not exist
suyang,39237426326 ,7,bundle_index = 7 does not exist
suyang,39237426326 ,8,13
suyang,41802068265 ,2,4
suyang,41802068265 ,3,5
suyang,41802068265 ,4,9
suyang,41802068265 ,5,9
suyang,41802068265 ,6,18
suyang,41802068265 ,7,12
suyang,41802068265 ,8,9
suyang,43168072227 ,2,1
suyang,43168072227 ,3,5
suyang,43168072227 ,4,12
suyang,43168072227 ,5,12
suyang,43168072227 ,6,12
suyang,43168072227 ,7,13
suyang,43168072227 ,8,13
suyang,43736454825 ,2,2
suyang,43736454825 ,3,6
suyang,43736454825 ,4,10
suyang,43736454825 ,5,10
suyang,43736454825 ,6,9
suyang,43736454825 ,7,11
suyang,43736454825 ,8,13
suyang,44231886556 ,2,9
suyang,44231886556 ,3,14
suyang,44231886556 ,4,17
suyang,44231886556 ,5,bundle_index = 5 does not exist
suyang,44231886556 ,6,bundle_index = 6 does not exist
suyang,44231886556 ,7,bundle_index = 7 does not exist
suyang,44231886556 ,8,12
suyang,44799642380 ,2,2
suyang,44799642380 ,3,2
suyang,44799642380 ,4,2
suyang,44799642380 ,5,5
suyang,44799642380 ,6,7
suyang,44799642380 ,7,7
suyang,44799642380 ,8,7
suyang,45293052304 ,2,2
suyang,45293052304 ,3,2
suyang,45293052304 ,4,3
suyang,45293052304 ,5,5
suyang,45293052304 ,6,5
suyang,45293052304 ,7,bundle_index = 7 does not exist
suyang,45293052304 ,8,13
suyang,45410114111 ,2,2
suyang,45410114111 ,3,2
suyang,45410114111 ,4,4
suyang,45410114111 ,5,6
suyang,45410114111 ,6,7
suyang,45410114111 ,7,11
suyang,45410114111 ,8,11
suyang,522145128789 ,2,3
suyang,522145128789 ,3,3
suyang,522145128789 ,4,4
suyang,522145128789 ,5,2
suyang,522145128789 ,6,4
suyang,522145128789 ,7,4
suyang,522145128789 ,8,4
suyang,523084126902 ,2,2
suyang,523084126902 ,3,1
suyang,523084126902 ,4,1
suyang,523084126902 ,5,1
suyang,523084126902 ,6,3
suyang,523084126902 ,7,3
suyang,523084126902 ,8,5
suyang,18820622609 ,2,3
suyang,18820622609 ,3,5
suyang,18820622609 ,4,bundle_index = 4 does not exist
suyang,18820622609 ,5,bundle_index = 5 does not exist
suyang,18820622609 ,6,bundle_index = 6 does not exist
suyang,18820622609 ,7,bundle_index = 7 does not exist
suyang,18820622609 ,8,8
suyang,20186366493 ,2,3
suyang,20186366493 ,3,3
suyang,20186366493 ,4,1
suyang,20186366493 ,5,4
suyang,20186366493 ,6,4
suyang,20186366493 ,7,4
suyang,20186366493 ,8,4
suyang,20373091017 ,2,2
suyang,20373091017 ,3,2
suyang,20373091017 ,4,bundle_index = 4 does not exist
suyang,20373091017 ,5,bundle_index = 5 does not exist
suyang,20373091017 ,6,bundle_index = 6 does not exist
suyang,20373091017 ,7,bundle_index = 7 does not exist
suyang,20373091017 ,8,8
suyang,20728727154 ,2,6
suyang,20728727154 ,3,8
suyang,20728727154 ,4,9
suyang,20728727154 ,5,13
suyang,20728727154 ,6,13
suyang,20728727154 ,7,13
suyang,20728727154 ,8,15
suyang,23896264169 ,2,4
suyang,23896264169 ,3,5
suyang,23896264169 ,4,7
suyang,23896264169 ,5,8
suyang,23896264169 ,6,10
suyang,23896264169 ,7,10
suyang,23896264169 ,8,10
suyang,24319152517 ,2,4
suyang,24319152517 ,3,12
suyang,24319152517 ,4,12
suyang,24319152517 ,5,13
suyang,24319152517 ,6,bundle_index = 6 does not exist
suyang,24319152517 ,7,bundle_index = 7 does not exist
suyang,24319152517 ,8,5
suyang,35674260254 ,2,2
suyang,35674260254 ,3,2
suyang,35674260254 ,4,2
suyang,35674260254 ,5,3
suyang,35674260254 ,6,3
suyang,35674260254 ,7,3
suyang,35674260254 ,8,6
suyang,36982442137 ,2,8
suyang,36982442137 ,3,15
suyang,36982442137 ,4,18
suyang,36982442137 ,5,22
suyang,36982442137 ,6,22
suyang,36982442137 ,7,22
suyang,36982442137 ,8,18
suyang,37745552927 ,2,5
suyang,37745552927 ,3,7
suyang,37745552927 ,4,11
suyang,37745552927 ,5,4
suyang,37745552927 ,6,bundle_index = 6 does not exist
suyang,37745552927 ,7,bundle_index = 7 does not exist
suyang,37745552927 ,8,6
suyang,37870465778 ,2,bundle_index = 2 does not exist
suyang,37870465778 ,3,bundle_index = 3 does not exist
suyang,37870465778 ,4,bundle_index = 4 does not exist
suyang,37870465778 ,5,bundle_index = 5 does not exist
suyang,37870465778 ,6,bundle_index = 6 does not exist
suyang,37870465778 ,7,bundle_index = 7 does not exist
suyang,37870465778 ,8,bundle_index = 8 does not exist
suyang,40112687054 , ,bundle_index = 1 does not exist
suyang,40112687054 , ,bundle_index = 1 does not exist
suyang,40112687054 , ,bundle_index = 1 does not exist
suyang,40112687054 , ,bundle_index = 1 does not exist
suyang,40112687054 , ,bundle_index = 1 does not exist
suyang,40112687054 , ,bundle_index = 1 does not exist
suyang,40112687054 , ,bundle_index = 1 does not exist
suyang,40148868087 ,2,2
suyang,40148868087 ,3,2
suyang,40148868087 ,4,2
suyang,40148868087 ,5,4
suyang,40148868087 ,6,4
suyang,40148868087 ,7,4
suyang,40148868087 ,8,17
suyang,40175359932 ,2,2
suyang,40175359932 ,3,2
suyang,40175359932 ,4,1
suyang,40175359932 ,5,3
suyang,40175359932 ,6,3
suyang,40175359932 ,7,3
suyang,40175359932 ,8,18
suyang,42981617542 ,2,2
suyang,42981617542 ,3,5
suyang,42981617542 ,4,8
suyang,42981617542 ,5,8
suyang,42981617542 ,6,9
suyang,42981617542 ,7,8
suyang,42981617542 ,8,11
suyang,44069100271 ,2,2
suyang,44069100271 ,3,2
suyang,44069100271 ,4,1
suyang,44069100271 ,5,3
suyang,44069100271 ,6,1
suyang,44069100271 ,7,3
suyang,44069100271 ,8,3
suyang,522086451970 ,2,2
suyang,522086451970 ,3,2
suyang,522086451970 ,4,4
suyang,522086451970 ,5,4
suyang,522086451970 ,6,4
suyang,522086451970 ,7,bundle_index = 7 does not exist
suyang,522086451970 ,8,6
suyang,522743875767 ,2,2
suyang,522743875767 ,3,2
suyang,522743875767 ,4,2
suyang,522743875767 ,5,1
suyang,522743875767 ,6,3
suyang,522743875767 ,7,3
suyang,522743875767 ,8,3
suyang,42681494957 ,2,7
suyang,42681494957 ,3,9
suyang,42681494957 ,4,13
suyang,42681494957 ,5,13
suyang,42681494957 ,6,bundle_index = 6 does not exist
suyang,42681494957 ,7,bundle_index = 7 does not exist
suyang,42681494957 ,8,13
suyang,37443266749 ,2,2
suyang,37443266749 ,3,2
suyang,37443266749 ,4,1
suyang,37443266749 ,5,3
suyang,37443266749 ,6,3
suyang,37443266749 ,7,bundle_index = 7 does not exist
suyang,37443266749 ,8,16
suyang,43452978184 ,2,5
suyang,43452978184 ,3,5
suyang,43452978184 ,4,6
suyang,43452978184 ,5,bundle_index = 5 does not exist
suyang,43452978184 ,6,bundle_index = 6 does not exist
suyang,43452978184 ,7,bundle_index = 7 does not exist
suyang,43452978184 ,8,8
suyang,25673844634 ,2,8
suyang,25673844634 ,3,8
suyang,25673844634 ,4,8
suyang,25673844634 ,5,bundle_index = 5 does not exist
suyang,25673844634 ,6,bundle_index = 6 does not exist
suyang,25673844634 ,7,bundle_index = 7 does not exist
suyang,25673844634 ,8,11
suyang,23924620234 ,2,9
suyang,23924620234 ,3,11
suyang,23924620234 ,4,19
suyang,23924620234 ,5,19
suyang,23924620234 ,6,19
suyang,23924620234 ,7,bundle_index = 7 does not exist
suyang,23924620234 ,8,22
suyang,40452911197 ,2,2
suyang,40452911197 ,3,2
suyang,40452911197 ,4,2
suyang,40452911197 ,5,5
suyang,40452911197 ,6,7
suyang,40452911197 ,7,7
suyang,40452911197 ,8,7
suyang,43853759026 ,2,2
suyang,43853759026 ,3,2
suyang,43853759026 ,4,1
suyang,43853759026 ,5,3
suyang,43853759026 ,6,2
suyang,43853759026 ,7,4
suyang,43853759026 ,8,4
suyang,44881048637 ,2,4
suyang,44881048637 ,3,8
suyang,44881048637 ,4,11
suyang,44881048637 ,5,bundle_index = 5 does not exist
suyang,44881048637 ,6,bundle_index = 6 does not exist
suyang,44881048637 ,7,bundle_index = 7 does not exist
suyang,44881048637 ,8,5
suyang,522863996797 ,2,1
suyang,522863996797 ,3,1
suyang,522863996797 ,4,1
suyang,522863996797 ,5,bundle_index = 5 does not exist
suyang,522863996797 ,6,bundle_index = 6 does not exist
suyang,522863996797 ,7,bundle_index = 7 does not exist
suyang,522863996797 ,8,15
suyang,36513357018 ,2,11
suyang,36513357018 ,3,12
suyang,36513357018 ,4,12
suyang,36513357018 ,5,12
suyang,36513357018 ,6,bundle_index = 6 does not exist
suyang,36513357018 ,7,bundle_index = 7 does not exist
suyang,36513357018 ,8,1
suyang,18352298789 ,2,2
suyang,18352298789 ,3,3
suyang,18352298789 ,4,4
suyang,18352298789 ,5,6
suyang,18352298789 ,6,6
suyang,18352298789 ,7,7
suyang,18352298789 ,8,8
suyang,37241107923 ,2,3
suyang,37241107923 ,3,bundle_index = 3 does not exist
suyang,37241107923 ,4,bundle_index = 4 does not exist
suyang,37241107923 ,5,bundle_index = 5 does not exist
suyang,37241107923 ,6,bundle_index = 6 does not exist
suyang,37241107923 ,7,bundle_index = 7 does not exist
suyang,37241107923 ,8,bundle_index = 8 does not exist
suyang,23969324559 ,2,7
suyang,23969324559 ,3,9
suyang,23969324559 ,4,13
suyang,23969324559 ,5,13
suyang,23969324559 ,6,13
suyang,23969324559 ,7,13
suyang,23969324559 ,8,13
suyang,24291960195 ,2,3
suyang,24291960195 ,3,7
suyang,24291960195 ,4,7
suyang,24291960195 ,5,7
suyang,24291960195 ,6,7
suyang,24291960195 ,7,7
suyang,24291960195 ,8,4
suyang,43426870825 ,2,4
suyang,43426870825 ,3,5
suyang,43426870825 ,4,5
suyang,43426870825 ,5,5
suyang,43426870825 ,6,bundle_index = 6 does not exist
suyang,43426870825 ,7,bundle_index = 7 does not exist
suyang,43426870825 ,8,9
suyang,38631814095 ,2,7
suyang,38631814095 ,3,10
suyang,38631814095 ,4,bundle_index = 4 does not exist
suyang,38631814095 ,5,bundle_index = 5 does not exist
suyang,38631814095 ,6,bundle_index = 6 does not exist
suyang,38631814095 ,7,bundle_index = 7 does not exist
suyang,38631814095 ,8,11
suyang,36574928690 ,2,2
suyang,36574928690 ,3,7
suyang,36574928690 ,4,7
suyang,36574928690 ,5,7
suyang,36574928690 ,6,bundle_index = 6 does not exist
suyang,36574928690 ,7,bundle_index = 7 does not exist
suyang,36574928690 ,8,6
suyang,44331296085 ,2,3
suyang,44331296085 ,3,10
suyang,44331296085 ,4,bundle_index = 4 does not exist
suyang,44331296085 ,5,bundle_index = 5 does not exist
suyang,44331296085 ,6,bundle_index = 6 does not exist
suyang,44331296085 ,7,bundle_index = 7 does not exist
suyang,44331296085 ,8,7
suyang,37908516066 , ,bundle_index = 1 does not exist
suyang,37908516066 , ,bundle_index = 1 does not exist
suyang,37908516066 , ,bundle_index = 1 does not exist
suyang,37908516066 , ,bundle_index = 1 does not exist
suyang,37908516066 , ,bundle_index = 1 does not exist
suyang,37908516066 , ,bundle_index = 1 does not exist
suyang,37908516066 , ,bundle_index = 1 does not exist
suyang,41583985792 , ,bundle_index = 1 does not exist
suyang,41583985792 , ,bundle_index = 1 does not exist
suyang,41583985792 , ,bundle_index = 1 does not exist
suyang,41583985792 , ,bundle_index = 1 does not exist
suyang,41583985792 , ,bundle_index = 1 does not exist
suyang,41583985792 , ,bundle_index = 1 does not exist
suyang,41583985792 , ,bundle_index = 1 does not exist
suyang,35557065616 , ,bundle_index = 1 does not exist
suyang,35557065616 , ,bundle_index = 1 does not exist
suyang,35557065616 , ,bundle_index = 1 does not exist
suyang,35557065616 , ,bundle_index = 1 does not exist
suyang,35557065616 , ,bundle_index = 1 does not exist
suyang,35557065616 , ,bundle_index = 1 does not exist
suyang,35557065616 , ,bundle_index = 1 does not exist
suyang,43473279886 ,2,2
suyang,43473279886 ,3,2
suyang,43473279886 ,4,1
suyang,43473279886 ,5,1
suyang,43473279886 ,6,bundle_index = 6 does not exist
suyang,43473279886 ,7,bundle_index = 7 does not exist
suyang,43473279886 ,8,1
