"","item_id","bundle_index1","bundle_index2","premrel","diff","share","filtered_item_share"
"1",16831203027,1,2,17,2,0.0592592592592593,"0.135593220338983"
"2",16831203027,2,3,42,1,0.0592592592592593,"0.101694915254237"
"3",16831203027,3,4,-180,11,0.0518518518518519,"0.0847457627118644"
"4",16831203027,4,5,30,3,0.0740740740740741,"0.101694915254237"
"5",16831203027,5,6,-17,6,0.0666666666666667,"0.0508474576271186"
"6",16831203027,6,7,75,2,0.0222222222222222,"0.0169491525423729"
"7",16831203027,7,8,70,2,0.525925925925926,"0.305084745762712"
"8",18053093587,1,2,-80,2,NA,NA
"9",18053093587,2,3,75,6,NA,NA
"10",18053093587,3,4,50,4,NA,NA
"11",18053093587,4,5,-280,5,NA,NA
"12",18053093587,5,6,40,2,NA,NA
"13",18053093587,6,7,200,2,NA,NA
"14",18352298789,1,2,95,2,NA,NA
"15",18352298789,2,3,25,1,NA,NA
"16",18352298789,3,4,200,3,NA,NA
"17",18352298789,4,5,-260,4,NA,NA
"18",18352298789,5,6,270,4,NA,NA
"19",18352298789,6,7,-220,5,NA,NA
"20",18352298789,7,8,250,3,NA,NA
"21",18820622609,1,2,80,3,NA,NA
"22",18820622609,2,3,-130,4,NA,NA
"23",18999829018,1,2,10,2,0.5,"0.5"
"24",18999829018,2,3,0,2,NA,NA
"25",18999829018,3,4,-30,3,NA,NA
"26",18999829018,4,5,50,2,NA,NA
"27",18999829018,5,6,180,2,NA,NA
"28",18999829018,6,7,-195,4,NA,NA
"29",18999829018,7,8,-20,4,NA,NA
"30",19999809846,1,2,45,2,0.119047619047619,"0.12"
"31",19999809846,2,3,-130,4,0.0952380952380952,"0.16"
"32",19999809846,3,4,-125,5,0.119047619047619,"0.04"
"33",19999809846,4,5,-10,3,0.0952380952380952,"0.08"
"34",19999809846,5,6,30,5,0.0476190476190476,"0.08"
"35",19999809846,6,7,40,3,0.0476190476190476,"0.04"
"36",19999809846,7,8,50,2,0.0476190476190476,"0.08"
"37",20167630571,1,2,0,4,0.317757009345794,"0.318181818181818"
"38",20167630571,2,3,45,2,0.214953271028037,"0.212121212121212"
"39",20167630571,3,4,35,4,0.205607476635514,"0.242424242424242"
"40",20167630571,4,5,195,2,0.11214953271028,"0.151515151515152"
"41",20186366493,1,2,-15,3,NA,NA
"42",20186366493,2,3,25,2,NA,NA
"43",20186366493,3,4,40,4,NA,NA
"44",20186366493,4,5,-5,3,NA,NA
"45",20186366493,5,6,25,2,NA,NA
"46",20186366493,6,7,70,4,NA,NA
"47",20186366493,7,8,25,2,NA,NA
"48",20373091017,1,2,5,2,NA,NA
"49",20373091017,2,3,15,2,NA,NA
"50",20728727154,1,2,-35,6,NA,NA
"51",20728727154,2,3,-110,6,NA,NA
"52",20728727154,3,4,145,5,NA,NA
"53",20728727154,4,5,20,8,NA,NA
"54",20728727154,5,6,140,4,NA,NA
"55",20728727154,6,7,170,6,NA,NA
"56",20728727154,7,8,2,6,NA,NA
"57",23896264169,1,2,-65,4,NA,NA
"58",23896264169,2,3,45,5,NA,NA
"59",23896264169,3,4,-20,2,NA,NA
"60",23896264169,4,5,115,5,NA,NA
"61",23896264169,5,6,-130,4,NA,NA
"62",23896264169,6,7,62,4,NA,NA
"63",23896264169,7,8,30,2,NA,NA
"64",23924620234,1,2,-300,4,NA,NA
"65",23924620234,2,3,-30,2,NA,NA
"66",23924620234,3,4,-55,6,NA,NA
"67",23924620234,4,5,45,2,NA,NA
"68",23924620234,5,6,-30,2,NA,NA
"69",23969324559,1,2,-190,7,NA,NA
"70",23969324559,2,3,-50,4,NA,NA
"71",23969324559,3,4,-118,8,NA,NA
"72",23969324559,4,5,65,2,NA,NA
"73",23969324559,5,6,0,0,NA,NA
