"","item_id","bundle_index1","bundle_index2","premrel","diff"
"1",16831203027,1,2,23,2
"2",16831203027,1,3,49,1
"3",16831203027,1,4,-55,10
"4",16831203027,1,5,-41,9
"5",16831203027,5,6,-1,6
"6",16831203027,5,7,58,4
"7",16831203027,5,8,126,6
"8",18053093587,1,2,75,2
"9",18053093587,1,3,134,8
"10",18053093587,1,4,182,8
"11",18053093587,1,5,-96,11
"12",18053093587,5,6,38,2
"13",18053093587,5,7,238,4
"14",18352298789,1,2,115,2
"15",18352298789,1,3,140,3
"16",18352298789,1,4,320,4
"17",18352298789,1,5,121,6
"18",18352298789,5,6,209,4
"19",18352298789,5,7,50,1
"20",18352298789,5,8,259,4
"21",18820622609,1,2,78,3
"22",18820622609,1,3,103,5
"23",18999829018,1,2,37,2
"24",18999829018,1,3,47,2
"25",18999829018,1,4,-20,1
"26",18999829018,1,5,57,3
"27",18999829018,5,6,190,2
"28",18999829018,5,7,-15,2
"29",18999829018,5,8,75,6
"30",19999809846,1,2,29,2
"31",19999809846,1,3,-81,6
"32",19999809846,1,4,-180,7
"33",19999809846,1,5,-206,10
"34",19999809846,5,6,36,5
"35",19999809846,5,7,60,4
"36",19999809846,5,8,108,6
"37",20167630571,1,2,0,4
"38",20167630571,1,3,29,6
"39",20167630571,1,4,62,8
"40",20167630571,1,5,272,8
"41",20186366493,1,2,0,3
"42",20186366493,1,3,25,3
"43",20186366493,1,4,50,1
"44",20186366493,1,5,60,4
"45",20186366493,5,6,25,2
"46",20186366493,5,7,95,2
"47",20186366493,5,8,120,4
"48",20373091017,1,2,5,2
"49",20373091017,1,3,20,2
"50",20728727154,1,2,25,6
"51",20728727154,1,3,15,8
"52",20728727154,1,4,75,9
"53",20728727154,1,5,320,13
"54",20728727154,5,6,10,4
"55",20728727154,5,7,160,8
"56",20728727154,5,8,192,8
"57",23896264169,1,2,35,4
"58",23896264169,1,3,136,5
"59",23896264169,1,4,116,7
"60",23896264169,1,5,144,8
"61",23896264169,5,6,-28,4
"62",23896264169,5,7,32,4
"63",23896264169,5,8,118,6
"64",23924620234,1,2,-10,4
